file	sample	sample_name	condition	replicate
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\Sialidase_aa_1_Slot2-1_1_23598.d	Sial_aa_1	Sial_aa_1	Sial	1
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\Sialidase_aa_2_Slot2-2_1_23602.d	Sial_aa_2	Sial_aa_2	Sial	2
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\Sialidase_aa_3_Slot2-3_1_23606.d	Sial_aa_3	Sial_aa_3	Sial	3
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\rPAL_aa_1_Slot2-4_1_23612.d	rPAL_aa_1	rPAL_aa_1	rPAL	1
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\rPAL_aa_2_Slot2-5_1_23616.d	rPAL_aa_2	rPAL_aa_2	rPAL	2
C:\Users\Innoscan\Desktop\Ioannis\New_data_pack_2\rPAL_aa_3_Slot2-6_1_23620.d	rPAL_aa_3	rPAL_aa_3	rPAL	3
