"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"PSIP1",15.6322554332484,15.5895589271745,14.5406060519507,15.7378367245498,15.740737475195,15.521230333616
"NPM3",15.1514586692216,14.971760157488,14.913772651,14.93302548634,14.8306566669459,14.893640452323
"EIF3G",14.3275325051529,13.6445553892777,14.317872145222,14.7394093422292,14.1537902973739,13.7511998716692
"BCAS2",13.7229564881449,15.1158380763439,14.5095222879238,15.0019589084757,13.9290476302917,14.6713162638658
"SRP72",18.6241189625966,18.5730503045693,18.6240638295893,18.3939879091325,18.5020038314285,18.3152196286519
"TOX",14.4529729768623,15.1023218630919,14.2248250178411,14.6320766402931,12.5353986090568,12.3130613892209
"NDUFB4",14.294060892404,14.816032095325,14.2813791338485,12.404394317751,14.1537902973739,12.7144977877528
"POLR1A",15.4278054123688,15.378413540066,15.4951332178333,15.7661075865503,16.032879135162,15.4055198749176
"AP2A1",15.0250440688364,14.7961479793131,14.8319576758149,15.0129278325674,15.2253784229333,15.2972066447357
"CAVIN2",14.3449745043997,13.6525381436592,13.8053796262735,15.0851185886854,15.0052405805322,14.1905558341042
"BAG2",15.1548535036854,14.5461518257052,14.9410449920955,14.7351782189238,15.1144617065161,14.7451537003267
"ACTL6A",14.2444515478368,15.097472329482,14.4933797041484,15.4529785538853,15.1464073817559,15.4160659685937
"LDHA",15.5791873681572,15.2711281402206,15.6508613043299,15.6941017251645,14.9929115685445,15.5585396075359
"JCHAIN",10.579911714899,12.1599016415332,16.3553834465711,14.0420534777318,14.9942762963062,14.6117994383011
"IGHA1",10.7524961005816,12.8292105469051,17.0256304511027,13.8501374300964,14.4407007568677,13.6608888297312
"LMNA",14.7705323228197,14.8616509302101,14.8566902221519,14.5079490825427,15.1031773478443,14.853809245714
"TFRC",15.5552035327818,12.8300672407115,12.6580020613465,15.9939520430665,14.744804937069,15.0074055377613
"CAT",14.754938847167,14.1490716505854,14.3895489989764,14.0555321567378,14.6842063026963,14.1679751224477
"ANXA1",15.7437487547054,15.5360381733611,16.1168058989897,15.4190618337137,15.4847341703194,15.9583709398104
"GAPDH",15.4954493367587,15.5584068112373,16.4083063525167,16.945500007662,16.4598779089957,15.9927698246055
"HSPB1",14.8085964306762,14.7593622087877,15.4272185472598,14.5682721649216,14.2617032791079,14.8934244050162
"RPN1",16.4757138964495,16.2429729131836,16.4248023807573,16.3790238606858,16.5024789481568,16.4731917233131
"GNAI2",14.306379974162,14.4249616386821,13.857222234199,14.138982891475,14.1515568139256,14.2338799961705
"H2AC4",18.4907386317775,18.7190197569924,18.824927673339,18.4264872917273,17.8768292648663,18.253272602044
"ARG1",15.0991468494351,14.5738428350083,15.4460138559975,15.3592910969366,15.4028991421236,15.5158811184266
"S100A8",14.8048611604133,15.0733489986522,15.3891881922983,14.4285982684069,14.8572776945088,15.2388155891486
"PCCA",15.0687807966547,14.8828564672401,14.0936851149392,15.2677523078006,14.580675720267,14.8355438825757
"EIF2S1",18.8059343341118,19.0655549781363,18.8027381089263,18.7728816562266,18.3765541175467,18.7769798384376
"GSN",14.8278874827462,14.8337223490558,14.8376185221177,14.7064843085274,15.0339802948775,14.85482417473
"PTMA",16.379019882679,16.5304380389744,16.4499934852161,16.6641376619035,15.2777024349449,16.6447231664597
"ATP5F1B",9.98413929237744,12.3331045692884,12.7060126625574,11.961131166581,11.6567625252385,10.2077286557174
"S100A9",15.2822743641186,15.1921170909119,15.2734911211421,15.5781697243788,15.1914130571945,15.8373857391368
"ENO1",14.891786925757,14.6065902803705,15.2923752726791,15.3104653806797,15.1961630888717,15.1409762371369
"NPM1",16.0992798947904,15.7704784860198,16.3284773635837,16.0544971674221,16.4970593717415,16.6002979239014
"CTSD",13.1090879857475,15.2500183355412,12.66227740796,15.4214121789579,15.7462756951489,16.2642774652385
"ANXA2",16.3724070051691,16.0296133496301,15.9280769496423,16.0473298019126,16.727144297479,16.5003808516438
"TUBB",16.1191354650537,15.9781498134744,15.9474419098377,16.0095806547142,15.1885109603252,15.6819145989606
"APRT",16.3798301539349,12.834873894941,11.2929991237483,15.0051630633752,15.4498350650612,14.9775700792598
"EPRS1",17.3282312037289,17.3414556692079,17.2875375323493,17.2015507806886,16.8913563364338,16.9407327162606
"HSP90AA1",15.7125602094157,15.4591667885793,15.135705999962,15.5591504266694,15.4925813357378,13.8559933946457
"HSP90AB1",15.0514819699298,15.3961200109349,15.2566683047785,15.1154629659675,14.0425995397407,15.228757825515
"GSTP1",15.6334522128737,15.5929173251113,16.6578533591209,16.6578537777044,15.9292248147219,16.3399635786441
"PARP1",19.5308827443768,19.6739414412263,19.7659332054845,19.3880634202319,19.2365560073304,19.3002655444444
"UBB",16.9375514102811,17.0784349021004,17.1691125131621,16.3871518461783,16.5210725204066,16.612192363471
