"Protein","rPAL_detected","Sial_rPAL_detected"
"RAB2A",3,3
"RAB10",3,3
"UBE2N",3,3
"RAB14",3,3
"ACTR3",3,3
"ACTR2",3,3
"ACTR1A",3,3
"COPS2",1,2
"ARF3",3,3
"POLR2F",1,3
"ABCE1",3,3
"RAP1B",3,3
"MAX",3,3
"RPS3A",3,3
"RPL26",3,3
"PSME3",3,3
"RPL15",3,3
"MAGOH",3,3
"RPL27",3,3
"RPL37A",3,3
"RHOA",3,3
"HSPE1",3,3
"SEC61A1",3,3
"LYZ",3,3
"B2M",2,1
"COPZ1",3,3
"RPL37",3,3
"UFM1",3,3
"DCAF7",3,3
"WDR5",3,3
"NUTF2",2,2
"HNRNPK",3,3
"YWHAG",3,3
"RPS7",3,3
"PPP1CA",3,3
"PPP1CB",3,3
"PSMC1",3,3
"PSMC5",3,3
"RPS8",3,3
"RPS15A",3,3
"RPS16",3,3
"YWHAE",3,3
"RPS14",3,3
"RPS23",3,3
"RPS18",3,3
"RPS29",3,3
"RPS13",3,3
"RPS11",3,3
"SNRPE",3,3
"SNRPF",3,3
"LSM3",3,3
"LSM6",3,3
"SNRPD1",3,3
"SNRPD2",3,3
"SNRPD3",3,3
"TMSB4X",2,3
"PSMC6",3,3
"RPL7A",3,3
"POLR2G",3,3
"ETF1",3,2
"RPS4X",3,3
"PPP2CB",3,3
"RPL23A",3,3
"RPS6",3,3
"H4C1",3,3
"RAB1A",3,3
"RAN",3,3
"RPL23",3,3
"RPS15",3,3
"RPS24",3,3
"RPS25",3,3
"RPS26",3,3
"RPS28",3,3
"FAU",3,3
"GNB1",3,3
"POLR2L",3,3
"RBX1",3,3
"RPL30",3,3
"RPL39",3,3
"RPL31",3,3
"RPL10A",3,3
"RPL32",3,3
"RPL11",3,3
"RPL8",3,3
"PPIA",3,3
"FKBP1A",3,3
"RPS27A",3,3
"GRB2",3,3
"TRA2B",3,3
"RAC1",3,3
"AP2B1",3,3
"GNAS",3,3
"GNAI1",3,3
"YWHAZ",3,3
"PPP2R2A",3,3
"DYNLT1",3,3
"RPL38",3,3
"SKP1",3,3
"RPS21",3,3
"EIF5A",3,3
"RACK1",3,3
"ACTG1",3,3
"YBX1",3,3
"SEC11A",3,2
"CSNK2B",3,3
"TPM4",3,3
"ACTC1",3,3
"UBE2L3",3,3
"EEF1A1",3,3
"ACTA1",3,1
"TUBB4B",3,3
"CSNK2A1",3,3
"PAFAH1B2",3,3
"NOMO3",3,3
"HBA1",3,3
"FAM193A",3,3
"NOP14",3,3
"RBM6",3,3
"EIF4G2",3,3
"RPP38",3,3
"RPP30",3,3
"GTF2I",3,3
"PIP4K2B",3,3
"SRPK2",3,3
"CSNK1G2",3,3
"CCT2",3,3
"RAE1",3,3
"GSTO1",3,3
"PRKDC",3,3
"NTHL1",3,3
"MAP1A",3,3
"ADARB1",1,3
"PRR3",3,3
"LCN2",2,3
"NUCB2",3,3
"DCD",3,3
"SSBP2",2,3
"MRPS22",3,3
"MRPS35",3,3
"MRPS5",3,3
"MRPS11",3,3
"MRPS15",3,3
"MRPS21",3,3
"MRPS34",3,3
"MRPS6",3,3
"MRPS9",3,3
"HMGN5",3,3
"LACTB",3,3
"RPL24",3,3
"RPL36A",3,3
"CBX1",2,1
"SMAD3",3,3
"ERH",3,3
"RHOG",3,3
"RPL19",3,3
"SERF2",3,3
"SRSF3",3,3
"H3-3A",3,3
"FOXK1",3,3
"ZBED6",3,2
"CCZ1B",3,3
"XIAP",2,3
"ARHGAP4",3,3
"RBM10",3,3
"RBM3",3,3
"ATP2C1",3,2
"CYCS",3,1
"MPP1",3,3
"TFAM",3,3
"SLC25A3",3,3
"HDLBP",3,3
"GTF2B",2,1
"CDK6",3,3
"CDK5",3,3
"PURA",3,3
"CLTC",3,3
"HSF1",1,2
"FKBP3",2,3
"PLCB2",3,3
"HNRNPU",3,3
"U2AF1",3,3
"SPTBN1",3,3
"TIAL1",3,3
"SET",3,3
"SRSF2",3,3
"FOXK2",2,3
"RUNX1",3,3
"AMPD3",2,2
"AMPD2",3,3
"FABP5",3,3
"CAP1",3,3
"FLI1",3,3
"HMGCS1",3,3
"SLC7A5",3,3
"DR1",3,3
"EXOSC10",3,3
"OTUD4",2,3
"PFKP",3,3
"SATB1",3,3
"XPC",3,3
"EWSR1",3,3
"OCRL",3,3
"PLCB3",3,3
"AKAP17A",3,3
"SP2",3,3
"OGDH",3,3
"CENPE",3,3
"KIF23",3,3
"BDH1",2,0
"DSG1",3,3
"SP4",3,2
"SP3",2,3
"RPL18A",3,3
"MAP2K1",3,3
"FKBP4",3,3
"PLOD1",3,3
"RPL6",3,3
"TOP2B",3,3
"SLC25A11",3,3
"DST",3,3
"MLLT1",3,3
"GNA12",3,3
"KMT2A",3,3
"CENPC",3,3
"LMNB2",3,3
"MVK",3,3
"ERCC6.1",3,3
"TAP2",2,1
"CEBPZ",3,3
"RELA",2,2
"UBXN1",3,3
"GBE1",3,3
"EIF4G1",3,3
"PRKCQ",3,3
"GLO1",2,2
"SSBP1",3,3
"YWHAH",3,3
"PLP2",2,0
"CSTF1",3,3
"UBE3A",2,1
"PTK2",3,3
"SRSF11",3,3
"PTPN11",3,3
"PPAT",3,3
"GFPT1",3,3
"EXOSC9",3,3
"PSME1",3,3
"RBPJ",3,3
"MEF2C",3,3
"RING1",3,3
"FMR1",3,3
"PRDX1",3,3
"RPL18",3,3
"C1QBP",3,3
"KHDRBS1",3,3
"BAX",3,3
"POLE",3,3
"KLC1",3,3
"SRSF1",3,3
"ARHGAP1",2,3
"FOXM1",2,1
"SRSF4",3,3
"TGM3",3,3
"PPP3CA",3,3
"DHX9",3,3
"CRYZ",3,1
"GOLGA3",3,3
"GOLGA2",3,3
"DSC1",3,3
"SSRP1",3,3
"VAC14",3,3
"NSUN2",3,3
"RBBP4",3,3
"NCBP1",3,3
"CCDC15",3,3
"APOBR",3,3
"HSPA14",3,3
"MGAT2",1,3
"GALNT2",2,2
"AP1B1",3,3
"CPSF1",3,3
"BST2",3,3
"PMPCA",3,3
"WASHC5",2,3
"NUP160",3,1
"TBL3",3,3
"GTF3C1",3,3
"TWF1",3,2
"ASPH",3,3
"TFCP2",3,3
"AKAP13",3,3
"SMARCB1",3,3
"BPTF",3,3
"CDC20",3,3
"GRSF1",3,3
"MAP4K2",3,3
"SFSWAP",3,3
"CHD3",3,3
"SF3A3",3,3
"TP53BP1",3,3
"IFRD2",3,3
"TRIM26",3,3
"AIMP1",3,3
"ILF2",3,3
"ILF3",3,3
"LMAN2",2,2
"ELAVL2",3,3
"TRAP1",3,3
"TRAF2",3,3
"TAF10",3,3
"PPP1R8",3,3
"ABR",3,3
"NFX1",3,3
"CSTF3",3,3
"TIAM1",3,3
"ECH1",3,3
"CDC16",3,2
"STK4",3,3
"FLII",3,3
"MKRN3",2,3
"ACACA",3,3
"CHAF1A",3,3
"CHAF1B",3,3
"IK",3,3
"MTAP",3,3
"REST",3,3
"PRKAA1",3,3
"PPFIA1",3,3
"EIF2B5",3,3
"TARDBP",3,3
"HNRNPA0",3,3
"AIMP2",3,3
"PRDX4",3,3
"PAK2",3,3
"CBX3",3,3
"STK3",3,2
"STX5",2,2
"CBLB",1,2
"PSMD2",3,3
"DDX10",3,3
"DNAJC3",2,2
"GPS2",2,0
"SRSF9",3,3
"SRSF5",3,3
"SRSF6",3,3
"TRIM28",3,3
"NMI",3,1
"PABPC4",3,3
"IFIT5",3,3
"MTA1",3,3
"EIF3I",3,3
"PPIL2",3,3
"CTBP1",3,3
"MRPL49",2,3
"DYNC1I2",3,3
"ORC1",3,1
"ILK",2,3
"IKZF1",3,3
"NNT",3,3
"XRCC4",3,3
"PPIG",3,3
"TCOF1",3,3
"SF3B2",3,3
"GOLGA4",2,2
"PDAP1",2,1
"FKBP5",3,3
"MYO9B",3,3
"ROCK1",3,3
"NFATC2",3,3
"TOP3A",3,3
"BIRC2",3,3
"PICALM",3,3
"MTM1",2,3
"SQSTM1",2,2
"MED21",3,3
"MTX1",2,1
"PRP4K",3,3
"RIPK1",2,0
"HDAC1",3,3
"CAMK2G",3,3
"CAMK2D",3,3
"DCTN2",3,3
"LAPTM5",3,3
"SNW1",3,3
"DGKZ",3,3
"IQGAP2",3,3
"STIM1",3,3
"TRA2A",3,3
"SNX1",3,3
"KRR1",3,3
"PWP1",3,3
"MTMR1",3,3
"MTMR2",3,3
"CUL1",3,3
"CUL2",3,3
"CUL3",3,3
"CUL4A",3,3
"CUL4B",2,0
"DYRK1A",3,3
"GFUS",3,3
"AAMP",3,3
"MOGS",3,3
"RUNX3",3,3
"THOC5",3,3
"SPTAN1",3,3
"GNL2",3,3
"PKP1",3,3
"DDX39B",3,3
"BLMH",3,3
"EXOSC2",3,3
"SNTB1",3,3
"TUBB2A",2,1
"GTF2H2",3,3
"GTF2H3",3,3
"BYSL",3,3
"C1D",2,1
"PDE7A",3,3
"CBFB",3,3
"CDK13",3,3
"IL16",3,3
"CKAP5",3,3
"CIRBP",3,3
"RAB33A",2,1
"HNRNPD",3,3
"BOP1",3,3
"UBE4A",2,0
"SEPTIN6",3,3
"TRIM14",3,3
"KEAP1",3,3
"DHX34",3,2
"MORC3",2,2
"SAFB2",3,3
"EIF3A",3,3
"ARHGEF7",1,3
"EFR3A",3,3
"UBAP2L",3,3
"SCRIB",3,3
"MLEC",3,3
"TTLL12",3,3
"WRN",3,3
"DCTN1",3,3
"DYNC1H1",3,3
"NPAT",3,3
"EIF2B1",3,3
"EIF4A2",3,3
"ELOA",3,3
"MAP7",3,3
"RCN2",3,3
"TRIM25",3,3
"FKBP8",3,3
"FAM50A",3,3
"FRG1",3,3
"GNA13",3,3
"CAPRIN1",3,3
"SLBP",3,3
"RBM39",3,3
"HLTF",3,3
"HNF4G",3,3
"PDIA5",3,3
"PRPSAP1",3,3
"DHX8",3,3
"MCM6",3,3
"HSP90AA2P",1,2
"ITPR2",3,3
"DSC3",3,3
"NBR1",3,3
"ITPR1",3,3
"RASA3",3,3
"TRIP12",3,3
"PUM1",3,3
"CLINT1",3,3
"KANK1",3,2
"MELK",3,3
"SMC1A",3,3
"RRP1B",3,3
"GSE1",3,3
"PDCD11",3,3
"GINS1",1,2
"BMS1",3,3
"USP10",3,3
"GANAB",3,3
"RFTN1",3,3
"PPP2R5D",3,2
"LBR",3,3
"PTPRCAP",2,2
"STAT4",3,3
"CBX2",3,3
"CASP8",3,2
"NAA30",3,3
"KIF22",3,3
"MEF2D",2,2
"CHD4",3,3
"LASP1",3,3
"DRAP1",3,3
"NFIX",3,3
"ZNF638",3,3
"KPNB1",3,3
"NOLC1",3,3
"NUMA1",3,3
"SHPRH",3,3
"GAPVD1",3,3
"ARHGAP19",2,2
"ATXN7L3",3,3
"NAA25",2,0
"NCAPH",3,3
"EMC2",2,1
"WTAP",3,3
"PSMD6",3,3
"MORF4L2",3,3
"ABRAXAS2",2,2
"SEPTIN2",3,3
"SART3",3,3
"NCAPD2",3,3
"SUZ12",3,3
"EXOSC7",3,3
"ACAP1",3,3
"EFTUD2",3,3
"LARS2",2,3
"R3HDM1",3,3
"KARS1",3,3
"MLC1",2,3
"RRS1",3,3
"IQCB1",3,3
"ARHGEF6",3,3
"POLD3",3,3
"EIF4H",3,3
"KIF14",3,3
"WDR43",3,2
"ZNF146",3,3
"EEA1",3,0
"PDIA6",3,3
"PAFAH1B3",3,3
"PDK3",3,3
"EBP",3,3
"PLCB4",3,3
"PLEC",3,3
"PCM1",3,3
"PPA1",3,3
"NECTIN1",2,1
"NONO",3,3
"PTPA",2,1
"PWP2",3,3
"RASA2",3,3
"RAB35",2,0
"RNPS1",3,3
"RBBP5",3,3
"RALBP1",3,3
"LRRC41",2,3
"TTF1",3,3
"TMED2",3,3
"PCBP1",3,3
"PCBP2",3,3
"ELOC",3,3
"ELOB",3,3
"TOMM20",3,3
"SF3B3",3,3
"PUM3",3,3
"RSU1",3,3
"SAFB",3,3
"SF3B4",3,3
"SF3A2",3,3
"PPP1R7",1,2
"SEC23A",3,3
"SEC23B",3,3
"CYTH1",3,2
"SF3A1",3,3
"SKIC2",3,2
"CDSN",3,3
"SURF2",3,3
"MED22",3,3
"TAF5",3,3
"TAF13",3,3
"TAF11",3,3
"TAF7",3,3
"TERF2",3,3
"MAPRE2",3,3
"TCEA2",3,2
"TAF1C",3,3
"TAF1A",3,3
"TSN",3,3
"TARBP2",3,3
"SF1",3,3
"TRIP13",3,3
"MED1",3,3
"TRIP4",3,3
"JMJD1C",3,3
"MAPRE1",3,3
"ZRSR2",3,3
"ELAVL1",3,3
"ELF2",3,3
"NSDHL",2,1
"SLC1A5",3,3
"MLF2",3,3
"ZKSCAN8",3,3
"TOMM34",3,3
"SMAD2",3,3
"UBE2V2",3,3
"NEDD8",3,3
"VPS72",1,2
"RAB11B",3,3
"EZH2",3,3
"ZYX",3,3
"SEPTIN7",3,3
"ADRM1",3,3
"CCDC6",3,3
"PDCD2",3,3
"PSMD5",3,3
"PKN1",3,3
"PKN2",3,2
"TAF12",3,3
"DDB1",3,3
"SNAPC1",3,3
"PPP2R5E",0,3
"MAPK14",3,3
"MRPL23",3,1
"CDC37",3,3
"DPYSL2",3,3
"SNRNP35",3,3
"SYPL1",3,0
"RBBP7",3,3
"MAP3K11",3,3
"TAF9",3,3
"ECM1",2,2
"SRSF7",3,3
"CPSF6",3,3
"SMN1",3,3
"MAPKAPK3",3,3
"FSCN1",3,3
"IFI16",3,3
"ZSCAN26",3,3
"CYP1B1",3,3
"DECR1",3,3
"CLPP",2,3
"UBE2S",3,3
"NDUFA9",3,3
"PCK2",1,2
"HADH",3,3
"UGP2",3,3
"PFKFB3",2,3
"PFKFB4",2,2
"TXNRD1",2,2
"IMMT",3,3
"GEN1",3,3
"KNOP1",3,3
"HNRNPUL2",3,3
"INF2",3,3
"PDS5A",3,3
"MTHFSD",2,3
"AAK1",3,3
"WASHC4",3,3
"ERCC6L",3,3
"TSR1",3,3
"TRIM71",3,3
"PWWP3A",3,2
"SMU1",3,3
"ZNF800",3,3
"ASTE1",3,3
"CWF19L2",3,3
"EIF2S3B",3,3
"LRRFIP1",3,3
"RMP24",3,3
"P3H1",3,2
"TRMT5",2,2
"EML3",3,3
"POLR1F",3,3
"MAP7D1",3,3
"UAP1L1",3,3
"LSM12",3,3
"GON4L",3,3
"CCDC88A",3,3
"RABL6",3,3
"TIMM50",3,3
"PARP14",3,3
"GLYR1",3,3
"ZBED5",3,0
"TTC31",3,3
"C2CD3",2,2
"VPS26B",2,3
"LARP7",3,3
"NADK2",2,3
"TBC1D10B",3,3
"TPRN",3,2
"ARID4B",2,1
"ZNG1F",3,3
"BCL7A",3,3
"SYTL3",3,3
"PABPC1L",3,3
"TIGD2",3,3
"PAN2",3,3
"FAM98B",3,3
"PDCD4",3,3
"FNDC3B",3,2
"CEP55",3,3
"NCBP3",3,3
"ORMDL2",3,3
"PLEKHO1",3,3
"HSD17B12",3,3
"USP39",3,3
"AGK",3,3
"PYCR3",3,3
"UNC50",3,3
"CDCA8",3,3
"ARHGAP15",3,3
"ASPRV1",3,2
"COBLL1",2,3
"TAF1B",3,3
"INO80D",3,3
"SGO2",3,3
"ACTBL2",3,3
"ESCO2",3,3
"PAN3",3,3
"PLEKHG4",2,0
"ODF2",3,3
"FAM133B",3,3
"ZNF326",3,3
"NOM1",3,3
"FLG2",3,3
"DNAJC21",3,3
"ESCO1",3,3
"PPP6R3",3,3
"DDX60L",3,3
"RABL3",2,1
"FAM76B",3,3
"NHSL2",2,3
"EMC4",2,0
"RPS26P11",3,3
"GCSAML",3,3
"PITRM1",2,1
"DOCK11",3,3
"PRRC2B",3,3
"AMER1",2,2
"RRP12",3,3
"TOR1AIP1",3,0
"CEP78",3,3
"PCID2",3,3
"SAMD9",3,3
"SAMD4B",2,2
"BRMS1L",2,1
"DNTTIP2",3,1
"COX20",2,1
"EXOSC6",3,3
"TTC39A",3,3
"HP1BP3",3,3
"ZMYM1",3,3
"CEP170",3,3
"LDLRAP1",3,2
"NOL9",3,3
"CEP85L",2,1
"ZNF362",3,3
"FKBP15",3,3
"HIVEP3",2,0
"ZC3H13",3,3
"SPOUT1",3,3
"OTUD3",3,3
"GPATCH4",3,3
"IBA57",3,3
"STXBP5",2,1
"CAMSAP1",3,2
"UBAP2",3,3
"PHF19",3,3
"KPRP",3,3
"EEIG2",3,3
"RBM26",3,3
"ATAD3B",3,3
"EEIG1",2,2
"DCAF8",2,3
"RNASEH2B",2,3
"RC3H1",3,3
"H3-7",3,3
"THEMIS2",3,3
"AHDC1",3,3
"LIN9",2,2
"RIF1",3,3
"GKAP1",3,2
"CEP350",3,3
"CDC42BPA",3,3
"RNF220",2,3
"GFI1B",3,3
"PRPF38B",3,3
"RNF20",3,1
"ZNF318",3,3
"SFMBT2",3,3
"CDKAL1",3,3
"ZNF691",3,3
"FOCAD",2,1
"TAF3",3,3
"RSBN1",3,3
"ECPAS",3,3
"TUT7",3,3
"SLX4IP",3,3
"NAA35",3,3
"ZMYM4",3,3
"OBI1",2,2
"MICOS13",3,3
"RNF213",3,3
"WASHC2A",3,2
"STEAP3",3,3
"FAM91A1",3,3
"ICE2",3,3
"LARP1B",3,1
"MAP1S",3,3
"E4F1",2,3
"PPP2R2D",3,3
"ARL6IP4",3,3
"ARID2",3,3
"UTP25",3,3
"TNS3",3,3
"HAUS3",2,2
"SPTY2D1",3,3
"MBLAC2",3,1
"MSL1",3,3
"CDCA2",3,3
"CWF19L1",2,3
"VIRMA",3,3
"SPECC1L",3,3
"BICRAL",3,3
"ZNF787",3,3
"ATL3",3,3
"RPL7L1",3,3
"H2BC20P",3,3
"MCTP2",3,3
"IQSEC1",3,3
"CARMIL2",3,3
"CIAPIN1",2,2
"RALGAPA1",3,2
"THOC7",3,3
"SIGIRR",2,1
"TWF2",3,3
"NCAPH2",3,3
"SNRNP48",3,3
"MRM1",3,3
"PPP4R3A",3,2
"TYW3",3,3
"SDE2",3,2
"RCSD1",3,3
"PYHIN1",2,1
"NIPBL",3,3
"PRR5L",3,2
"HMBOX1",3,3
"REEP3",2,3
"RMP64",3,3
"TAPT1",3,2
"PPP1R18",3,3
"ZCCHC8",3,3
"RPUSD3",2,1
"MIS18BP1",3,3
"DHX57",3,3
"MRPL54",3,3
"ERAP2",3,3
"CDC73",3,3
"MRPL14",3,3
"SLC27A4",2,2
"ARMCX5",2,2
"CC2D1A",3,3
"DUS1L",3,3
"TAF2",3,3
"MED27",3,3
"ZFP1",3,3
"EDC4",3,3
"CEP85",2,3
"PRPF8",3,3
"SFXN4",3,3
"PLBD1",3,3
"NFRKB",3,3
"RPL22L1",3,3
"ALKBH5",3,3
"PDXDC1",2,0
"RSBN1L",3,3
"CTR9",3,3
"SKIC3",3,2
"KCTD18",3,3
"DARS2",2,3
"INO80C",3,3
"TTC33",3,3
"TRIM65",3,2
"MIDEAS",3,3
"WDR59",0,2
"DCLRE1A",2,3
"ZC3H14",3,3
"CCDC137",3,3
"LARP1",3,3
"ATAD2",3,3
"RICTOR",3,3
"WDR74",3,3
"AGTRAP",3,2
"NHS",3,3
"MTHFD1L",3,3
"ANKRD12",3,3
"ANKRD11",3,3
"AFTPH",3,0
"FIP1L1",3,3
"LCLAT1",1,2
"SBSN",3,3
"PRSS57",3,3
"ABRAXAS1",3,3
"CWC27",3,3
"WDR82",3,3
"ZNF562",3,3
"RANBP10",3,3
"PACS1",3,3
"BCOR",3,2
"MPRIP",3,3
"RAB11FIP1",3,3
"DNAJC14",2,2
"GIGYF2",3,3
"CD109",3,3
"PPP1R21",3,3
"SYNE3",3,3
"ZNF574",3,3
"NFXL1",3,3
"Unannotated_2301",3,3
"UBR3",1,2
"BARGIN",2,1
"CRACD",3,3
"UBN2",3,3
"NKAPD1",3,3
"NCCRP1",3,3
"PAXIP1",2,0
"GTF2H5",3,2
"VPS13C",3,3
"USP34",3,3
"USP51",2,3
"UNC13D",3,3
"CENPU",3,3
"MED13L",3,3
"LARP4",3,3
"MED25",3,3
"TUBA1A",3,3
"RPS27L",3,3
"CBLL1",3,3
"SSH2",3,3
"ASXL2",3,1
"SUPT6H",3,2
"SND1",3,3
"MARK2",3,3
"DDX46",3,3
"RUFY3",3,3
"TRMT10C",3,3
"BZW1",2,3
"LRRC8D",3,3
"DHX30",3,3
"EIF3M",3,3
"MEPCE",3,3
"PARS2",3,3
"RSRC2",3,3
"CYFIP1",3,3
"MCM10",3,3
"MAEA",3,3
"EPM2AIP1",3,3
"TAOK1",3,3
"RAB11FIP2",3,3
"VASH1",3,3
"KDM3B",3,3
"RASGRP2",3,3
"HS2ST1",3,3
"MICAL3",3,3
"PHF5A",3,3
"APTX",3,3
"TRMT1L",3,3
"ZC3HAV1",3,3
"MRPL21",3,3
"TICRR",1,3
"SETX",3,3
"NEGR1",3,1
"KANSL1",3,2
"NUP54",2,3
"POGZ",3,3
"NUFIP2",3,3
"MAVS",3,1
"CLASP1",3,3
"DHX29",3,3
"TRMT11",3,3
"HAUS6",3,3
"HEATR3",3,2
"KIF21A",3,3
"HDGFL2",3,3
"DCXR",3,3
"BRAP",3,3
"EMSY",3,3
"GOLGA7",3,3
"WAPL",3,3
"IRF2BP2",3,3
"KCTD20",1,3
"NET1",3,2
"RBBP6",3,3
"ARHGAP30",3,3
"TSEN54",3,3
"HUWE1",3,3
"YTHDF3",3,3
"CNTRL",2,2
"PXK",3,3
"TAF8",3,3
"MRPL55",3,3
"CLNK",2,0
"CMC1",3,2
"CENPV",3,2
"TEDC1",2,2
"TRAPPC6B",3,2
"PATL1",3,3
"DPP9",3,1
"TADA2B",3,3
"TRPT1",3,3
"SETD3",2,3
"NOP9",3,3
"PABPN1",3,3
"METTL3",3,3
"LDB1",3,3
"PBRM1",3,3
"MTDH",3,3
"TLK2",3,3
"ZNF598",3,3
"KTN1",3,3
"LHFPL3",3,3
"SMG6",3,3
"CENATAC",3,3
"N4BP2",3,3
"FERMT3",3,3
"NAA40",3,3
"AACS",2,2
"LUZP1",3,3
"ALYREF",3,3
"MYPOP",3,3
"ZC3H18",3,3
"TAX1BP1",3,2
"CAND1",3,3
"HOOK3",2,3
"NLRP13",2,3
"THOC6",3,3
"METTL16",1,2
"LONP2",3,3
"SBF2",3,3
"CHD1L",3,3
"RPS19BP1",3,3
"RALGAPB",3,3
"CHSY1",2,3
"CARM1",3,3
"CIRSR",3,3
"PPP1R3B",0,2
"GAS2L3",3,3
"FBXO11",3,3
"DDX42",3,3
"CEP57",3,3
"SPATS2",3,3
"VRK2",3,3
"COL23A1",1,3
"NDUFA11",2,2
"PTRH1",3,3
"KIF18B",3,2
"NRROS",3,1
"GATAD2A",3,3
"CPNE8",3,3
"GPSM1",3,1
"C2CD5",3,3
"MIB1",3,3
"RASAL3",3,3
"HRNR",3,3
"IRF2BP1",2,0
"H2AC21",3,3
"RIOX2",3,3
"RBM45",3,3
"CRLF3",3,0
"ARMC8",3,3
"TBC1D10C",3,3
"PLD3",3,0
"ERI1",3,3
"VRK3",3,3
"FMNL3",3,2
"MAP4K3",1,3
"CCDC50",3,3
"MCAT",3,2
"KSR1",2,1
"CEP97",3,2
"WDR75",3,3
"MAP7D3",3,3
"MGA",3,3
"ZC3H7A",3,3
"PHF6",3,3
"CHERP",3,3
"ANKHD1",3,3
"SUGP1",3,3
"SUGP2",3,3
"CCAR1",3,3
"DHX40",3,3
"DNAJC10",3,3
"PHC2",3,3
"BACC1",3,3
"MRPL41",2,3
"GPALPP1",3,3
"KLHL7",3,3
"PARP9",3,3
"RBM12B",3,3
"RPAP2",3,3
"PNPLA6",3,3
"SMC5",3,3
"DDX60",3,3
"DHX37",3,3
"AMOTL1",3,1
"RAVER1",3,3
"FTSJ3",3,3
"SLX4",3,3
"TMEM192",1,2
"CKAP2L",3,3
"SRRM1",3,3
"SMAP1",3,3
"SUPV3L1",2,1
"GSPT2",3,3
"SYTL1",3,3
"C1orf174",3,3
"TRIM22",2,0
"PM20D2",3,3
"MICU2",3,3
"TRMT2A",3,3
"ALDH16A1",2,1
"XRN1",3,3
"PELP1",3,3
"ABI1",3,3
"SELENOH",3,3
"ASPM",3,3
"RBIS",3,3
"RBFA",3,3
"SPART",3,3
"ZNF444",2,2
"SPICE1",2,3
"PUSL1",3,3
"MIER1",2,1
"RPTOR",3,3
"TMEM123",2,3
"ORMDL3",3,3
"CCAR2",3,3
"NUP93",3,3
"ZNF687",3,3
"REXO1",3,2
"CMTR1",3,3
"LRRC47",3,3
"INTS1",3,3
"ABHD12",3,3
"CLASRP",3,3
"GPD1L",2,1
"ASCC3",3,3
"EHBP1L1",0,3
"FNBP4",3,3
"GUF1",3,3
"NIN",3,3
"MINK1",1,2
"FBXL6",3,1
"ZCCHC9",3,3
"MPND",3,3
"ZGPAT",3,3
"SRBD1",3,3
"NKAP",3,3
"MACO1",3,3
"SH2D3C",3,3
"RPP25L",3,3
"MRPL50",3,1
"ZC3H8",3,3
"RNF10",2,2
"RFLNB",3,3
"MSL3",3,3
"CPSF7",3,3
"ARFGAP2",2,2
"OTUD6B",3,3
"METTL13",3,3
"ARFGAP1",3,2
"EMC1",3,3
"PAF1",3,3
"POM121L12",3,3
"UBR7",3,3
"CGAS",3,3
"DDX51",3,3
"PDCD7",3,3
"GPATCH11",3,3
"JMY",3,3
"C19orf47",3,3
"ASCC1",3,3
"SREK1IP1",3,3
"KRI1",3,3
"ZNF579",3,3
"PRPF38A",3,3
"AFG2A",3,3
"NHLRC2",2,1
"SLC43A3",3,3
"COLGALT1",2,2
"SUMF2",2,2
"UBAC2",3,3
"HSD17B11",3,3
"TXNDC5",3,3
"SCCPDH",2,2
"INO80E",3,3
"SERBP1",3,3
"LEMD2",3,3
"NOA1",3,3
"NECAP1",3,3
"FAM98A",3,3
"HJURP",3,3
"TSEN2",3,3
"NFATC2IP",1,2
"SPRYD3",3,3
"PDPR",3,3
"SMG8",3,3
"RNF214",3,3
"LSM14A",3,3
"CCNY",3,3
"BANK1",3,3
"TENT4B",3,2
"EHBP1",3,3
"RBM15B",3,3
"TNRC6A",3,3
"PSD4",3,3
"DIPK2A",3,3
"ABCF1",3,3
"PIK3C3",3,3
"SRFBP1",3,3
"NGDN",3,3
"DDHD1",1,2
"SHCBP1",3,3
"SUPT20H",3,3
"SDR9C7",1,3
"PPHLN1",3,3
"KMT2C",3,3
"LPCAT1",3,3
"DOCK8",3,3
"BOD1L1",3,3
"ARID1B",3,3
"NUP35",3,3
"CMAS",3,3
"TRIM58",3,2
"KNL1",3,3
"KDM2B",3,3
"DDX55",3,3
"THOC2",3,3
"WDR36",3,3
"KIF18A",3,3
"RP9",3,3
"VANGL1",3,3
"SNIP1",3,3
"GADD45GIP1",3,3
"WDR48",3,3
"EXOC6",3,3
"SMARCC2",3,3
"FAM76A",3,3
"KLHDC4",3,3
"ZCRB1",3,3
"ZCCHC10",2,3
"PIP4K2C",3,3
"TRMT10A",3,3
"TBC1D15",3,3
"RDH11",3,3
"STT3B",3,3
"PNPT1",3,3
"HM13",2,3
"NEK9",3,3
"CHD6",3,3
"GPT2",3,3
"DTX3L",3,3
"DDX54",3,3
"CABLES1",3,3
"BRIX1",3,3
"STK35",2,3
"NEK7",3,3
"DTD1",2,3
"UTP15",3,3
"DOT1L",3,3
"NUP210",3,3
"GEMIN5",3,3
"RAPGEF6",3,3
"PARD3",3,3
"IPO4",3,1
"PNISR",3,3
"UBASH3B",3,3
"DIS3L",3,3
"ZNF384",3,3
"NOC3L",3,3
"U2AF1L4",3,3
"ZC3H15",3,3
"PPIL4",3,3
"GTF3C2",3,3
"PHF10",3,3
"CCDC12",3,3
"PTPMT1",3,3
"NUP133",3,3
"PDCD6IP",3,3
"CACTIN",3,3
"GATAD1",3,2
"BRK1",3,3
"THEM6",2,3
"DEPDC1B",3,3
