"Protein","rGAL_detected","UL_detected"
"MED22",2,1
"TRIP13",3,3
"MED1",2,3
"SMN1",3,3
"IFI16",3,3
"CWF19L2",2,0
"RABL6",3,3
"FLG2",3,3
"HP1BP3",3,3
"GPATCH4",3,2
"KPRP",2,3
"ATAD3B",3,3
"THOC7",2,3
"NFRKB",2,2
"RSBN1L",3,3
"INO80C",3,3
"GIGYF2",3,3
"NCCRP1",1,3
"SND1",2,1
"EIF3M",3,3
"TAF8",3,3
"MTDH",3,3
"KTN1",3,3
"N4BP2",1,3
"ALYREF",3,0
"THOC6",3,3
"GATAD2A",2,0
"HRNR",3,3
"ANKHD1",2,2
"LSM14A",2,0
"ABCF1",3,3
"DDX55",1,3
"THOC2",3,3
"PIP4K2C",3,3
"STT3B",3,3
"UBASH3B",1,2
"POF1B",1,2
"BBX",2,2
"H1-10",3,3
"AP3S1",3,3
"DHX38",3,3
"DDX17",3,3
"SMARCC1",3,3
"ARHGEF2",2,2
"RPL36AL",3,3
"CCDC47",3,2
"LRRC59",3,3
"CUSTOS",3,3
"CCDC124",3,1
"AP2M1",2,3
"THOC1",3,3
"LTV1",3,3
"SMARCD1",0,2
"DDX27",3,3
"PGAM5",3,3
"DIRAS2",3,3
"THOC3",1,2
"SERPINB12",3,3
"RBM14",3,3
"FAM111A",1,3
"GSDMA",2,3
"SRPK1",2,2
"CDC5L",3,3
"WDR77",2,3
"LLPH",1,2
"MMTAG2",3,2
"GNL3",2,1
"POLDIP3",3,2
"NIFK",3,3
"DDX24",3,3
"POLR1E",3,3
"NAT10",3,3
"MAGT1",2,0
"MRPL46",0,2
"CCDC86",3,2
"NRDE2",3,3
"MED20",1,2
"POLR1B",2,3
"MCCC2",3,3
"S100A14",1,2
"EXOSC4",3,3
"EXOSC3",3,3
"SDAD1",2,1
"NHP2",3,3
"GAR1",3,0
"CALML5",3,3
"RCC2",1,3
"PCDH10",2,1
"RRBP1",3,3
"LARS1",2,1
"SRP68",3,2
"DDX20",2,3
"EIF2B4",2,0
"RAB21",2,3
"INO80",2,3
"PRPF19",3,3
"RPL26L1",3,3
"AGTPBP1",3,3
"RUVBL2",3,3
"EIF3L",2,2
"RUVBL1",3,3
"FARSA",3,2
"ASF1A",2,1
"DRG1",2,0
"DDX52",3,3
"NOP58",3,2
"NOP16",2,2
"MED31",1,2
"FAM32A",2,1
"HCFC2",2,2
