"logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein"
-1.4127786748294,20.0064191628716,-21.9776235604449,4.52684084357814e-07,0.00170661899802896,6.63018703571961,"NONO"
-1.45898841632366,19.6201489202479,-19.3655322734328,9.74870287504457e-07,0.0018376304919459,6.11538420325886,"SFPQ"
-1.65431204953781,17.5961900617222,-15.6937272104253,3.46491553002847e-06,0.00435424384940244,5.15088307542077,"NARS2"
-1.02461717010159,18.8451664198255,-13.9692659594762,6.96020056680616e-06,0.00655998903421481,4.56560745847243,"MRTO4"
-1.5382170816256,20.1107474481074,-13.5492227229122,9.38904981819151e-06,0.00706301761562475,4.30320847973741,"KARS1"
-1.35734545601037,20.0323529688927,-13.036888670071,1.12408768418431e-05,0.00706301761562475,4.14412684510437,"RARS1"
-1.45633584220689,19.9511579903902,-12.6952815929889,1.37584446101286e-05,0.00717198728870088,3.96358376855257,"QARS1"
-1.31182665959974,20.0567823383082,-12.1483423322639,1.74755255839232e-05,0.00717198728870088,3.74545768003953,"AIMP1"
1.10962750025774,20.1698470101138,11.8015945327424,1.98786222191953e-05,0.00717198728870088,3.62465306406389,"EPS15"
-1.34389003874497,16.2292797068585,-11.3590106699262,2.3768244078402e-05,0.00717198728870088,3.45484275413651,"TOX"
-0.616703241161229,22.3160413592714,-11.1905465478207,2.59552630011457e-05,0.00717198728870088,3.37177920826266,"EIF2S1"
-1.34486076844657,19.7761126159425,-11.3750556251943,2.61153941043137e-05,0.00717198728870088,3.37312971014135,"IARS1"
0.694499021035927,18.4334624860326,11.1236479812199,2.68876644127129e-05,0.00717198728870088,3.33835745602667,"EIF3C"
-4.50622671272708,16.5647947504132,-11.274491064665,2.74983857100274e-05,0.00717198728870088,3.32453391140669,"IFITM1"
-1.23481342964599,20.0266794225476,-11.2028295626557,2.85357584431069e-05,0.00717198728870088,3.28956921192617,"DARS1"
