"logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein"
1.38396959074672,16.4273143993055,9.61347686359697,2.09688410152512e-05,0.0078213776986887,3.35412476731804,"TMPO"
2.85528487838036,18.462688492549,7.36487481138307,0.000128136872879638,0.0172576517500347,1.69962445186755,"HNRNPU"
2.1104977237098,16.5508794879349,7.27470205253143,0.000138801488606178,0.0172576517500347,1.62347162389512,"EEF1E1"
1.80732775898629,14.1683839069552,5.67395789983803,0.000648993905572266,0.0546049292385027,0.112486952943414,"RPL9"
-0.940637222053148,17.8163775476773,-5.43382986476839,0.000858995230385872,0.0546049292385027,-0.163456606630399,"HRNR"
0.69803875605162,17.9792388855053,5.37219240123655,0.00090822237368437,0.0546049292385027,-0.222128943625625,"RPL22"
0.841456996204609,18.495233792958,5.27502443932182,0.00102475738517297,0.0546049292385027,-0.340487387013254,"RPL23A"
0.505184523648719,19.7620161896708,5.01452800914526,0.00135629596830644,0.0632372995222876,-0.626914890641614,"RPS3A"
-0.881889625200166,14.9817438884378,-4.7560571486575,0.00184047784108705,0.0762775816361634,-0.935483248514513,"NIFK"
0.496386378340809,18.2608558855115,4.60619174455834,0.00220654685239572,0.0823041975943602,-1.11933076192571,"H1-4"
1.09176483101558,16.1757631254946,4.49534131465549,0.00256420352487057,0.0827804232111594,-1.26775777540817,"SNRPD3"
1.81354278664483,14.8517814923842,4.35731498474191,0.00304404789581406,0.0827804232111594,-1.44211951209605,"POLR1G"
0.799779060240645,17.0771387608781,4.33297638447965,0.00313845315863799,0.0827804232111594,-1.47318330348555,"RPL29"
0.554894031829246,16.7842525925999,4.23746875285375,0.00349671446261325,0.0827804232111594,-1.58709123112003,"UBB"
-2.94247228592895,14.2788569547094,-4.19682864124475,0.00372925904646216,0.0827804232111594,-1.64869853258593,"NCCRP1"
0.566883295044398,16.5014958873219,4.17914374602599,0.00376784828673824,0.0827804232111594,-1.66307548177349,"RPS26"
-0.752245448361847,15.3673131533423,-4.18124799008505,0.00377283430184909,0.0827804232111594,-1.66315007859081,"AP2M1"
0.65121186241619,17.0481963826292,4.11336827856675,0.00415085094973519,0.0860148557917348,-1.75774651001925,"RPS11"
-0.637562835555388,15.8244233559625,-3.89015678054102,0.00550249227753036,0.103080261375928,-2.04817869841,"PSMA3"
0.858570228386574,15.5989501532174,3.84269525366044,0.00591706089481506,0.103080261375928,-2.11884149233746,"ATP5F1C"
0.702959761151455,19.3602977403005,3.81433862260745,0.00614484471039776,0.103080261375928,-2.15731290624651,"H1-3"
0.61187038369588,16.6414420112246,3.76666811285984,0.00654946411228917,0.103080261375928,-2.22225396230339,"RPS25"
-1.61799650149065,13.7159895106999,-3.74040202263833,0.00678465334385777,0.103080261375928,-2.25817732941961,"MED20"
0.555003229417316,19.380940500736,3.74006373601144,0.00678774134050957,0.103080261375928,-2.25864064397712,"H1-5"
0.782874980596105,15.5276518030786,3.72645666269685,0.00691322002594871,0.103080261375928,-2.27729041695753,"CALML5"
0.559600584612909,16.6142382917907,3.6929447098429,0.00718521929161966,0.103080261375928,-2.31898914091152,"H4C1"
0.599129579966302,15.9724940114739,3.59846813475874,0.00817214078154836,0.111494993609151,-2.44992087603668,"EXOSC4"
-2.68790057346541,14.0666568134366,-3.58562481996153,0.00836959737548584,0.111494993609151,-2.47184731092491,"PIP"
0.617441338463713,16.4922609613245,3.45957320193975,0.00995558094105188,0.128049368655598,-2.64826392538249,"RPL35"
-0.62098264290163,14.9987221944135,-3.39479978052991,0.0108025672467788,0.13431191943495,-2.73452371653447,"KPNA2"
2.78113287156239,14.4757083949381,3.37506471806655,0.0111978415434722,0.134735319216617,-2.76767153078249,"CCDC124"
0.405416249389408,17.6440582009055,3.32546093112226,0.0119072114017429,0.136437772169612,-2.83326023042871,"EIF2S2"
-2.13686053669887,14.7422248447657,-3.32147342228749,0.0120709020954348,0.136437772169612,-2.84383914790684,"CTSD"
-2.01021533762952,15.0346896322958,-3.2993950351243,0.0124514925075479,0.136600197215158,-2.87531490340927,"PKP1"
2.23136794724564,14.4689014686919,3.26227447371476,0.0131205456299489,0.138094004454835,-2.92835820962218,"SLC25A3"
1.38907422748613,14.2338955949857,3.25116757762966,0.0133281076685632,0.138094004454835,-2.94425869427679,"ETFA"
0.348624139693626,19.4826070605157,3.19939561874502,0.0142363175878177,0.142497659780215,-3.01415245120133,"PARP1"
3.06323397757136,15.2929469635267,3.19089275334627,0.0145171878596465,0.142497659780215,-3.03077466109246,"HNRNPF"
0.367880556047549,18.3524654563641,2.99872719307021,0.0189973557143993,0.174066444723384,-3.30528893566441,"RPL26"
0.393296693840256,16.4045156792799,2.99745305627482,0.0190324787114594,0.174066444723384,-3.3071482774188,"RPL21"
-0.906113208567852,14.2160289280406,-2.99318991103665,0.019150495560569,0.174066444723384,-3.31337034130884,"GSDMA"
-0.726716107589221,14.9751259142837,-2.92536915175494,0.0212665101256869,0.174066444723384,-3.41588545785183,"ACTL6A"
0.492698967823749,18.4318792034578,2.90642352429904,0.0218606095050459,0.174066444723384,-3.44357073953298,"H2AC4"
1.24778459049489,14.0172794442145,2.89886233235647,0.0221025601359574,0.174066444723384,-3.45462615161149,"ASF1A"
0.431131663627401,15.650072121257,2.89243845496189,0.0221759146528028,0.174066444723384,-3.46078129745546,"AIMP2"
-2.47788319834461,13.36793493226,-2.89310671103303,0.0222886186467507,0.174066444723384,-3.46304390665138,"EIF6"
