"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOCC_CELL_SUBSTRATE_JUNCTION",0.00153238853911891,0.0132168511499006,0.45505986738723,0.348783212035425,1.4723386708367,195,"ARHGEF2;RPL4;RPLP0;RPL12;NUMB;RPL10A;ARPC5;RPL7A;RPL7;ARPC5L;RPL6;CLTC;GSN;RPL30;RPS3;RPS16;LIMD1;RPL5;RPL27;RPS5;FOCAD;RPL8;ITGB1BP1;FLNA;ADD1;ANXA5;MPRIP;RPLP1;RPL18;SNTB1;FLNB;SSH2;NHS;RPL23;IQGAP1;LMO7;ACTC1;B2M;TPM4;RPS10","GOCC","rPAL"
"GOCC_ATPASE_COMPLEX",0.00174183082683132,0.0148174923761952,0.45505986738723,0.439722375538685,1.65163730231129,92,"SMARCA2;BICRA;SMARCD1;ARID2;PBRM1;BRD9;SMARCC2;SMARCD2;BICRAL;ACTL6A;BACC1;BRD7;AFG2A;SMARCB1;SMARCE1;SMARCA4;SMARCC1;HMGXB4;BAZ2A;MCRS1;VPS4A;NFRKB;RUVBL1;UCHL5;INO80D;GATAD2B;BCL7C;UBXN7;RBBP4;PHF10;ATP6V1E1;ACTR5;ACTR8;RBBP7","GOCC","rPAL"
"GOCC_EXON_EXON_JUNCTION_COMPLEX",0.00185104356353085,0.0155337574723332,0.45505986738723,0.684035909254215,1.88480232581959,20,"EIF4A3;PNN;RBM8A;UPF1;MAGOH;ACIN1;CCDC9;SAP18;RNPS1;CASC3","GOCC","rPAL"
"GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX",0.00188669170013291,0.0156218072771005,0.45505986738723,0.669124715401253,1.86424980068316,21,"RPP38;NOP56;RPP40;POP4;MPHOSPH10;NHP2;POP1;POP7;RPP30;NOP58;RPP14;SNU13;FBL","GOCC","rPAL"
"GOCC_PRC1_COMPLEX",0.00237709446535298,0.0194233639866342,0.431707695803346,-0.709996983201664,-1.79236469496469,17,"CSNK2A1;CSNK2A2;BMI1;RNF2;CBX2;PHC2;KDM2B;RING1;CSNK2B;L3MBTL2","GOCC","Sial_rPAL"
"GOCC_TRANS_GOLGI_NETWORK",0.0026316901420601,0.0210298054949054,0.431707695803346,0.526189838451153,1.73664387843258,47,"AFTPH;AP1B1;CLTC;CLTA;STX10;SCAMP1;AP3M2;MYO18A;SMPD4;RAB6A;TMEM165;OSBPL9","GOCC","rPAL"
"GOCC_EXOSOME_RNASE_COMPLEX",0.00265962121220139,0.0210298054949054,0.431707695803346,0.673947683671037,1.85700508478981,20,"EXOSC10;EXOSC4;EXOSC8;EXOSC7;EXOSC9;EXOSC5;EXOSC2;C1D;NVL;EXOSC3;EXOSC6","GOCC","rPAL"
"GOCC_U1_SNRNP",0.00267528926585753,0.0210298054949054,0.431707695803346,-0.753525633558351,-1.8406698259873,15,"SNRNP70;LUC7L;SNRPC;SNRPE;SNRPA;SNRPGP15;LUC7L2;LUC7L3;SNRPD2;SNRPD3;SNRPF;SNRPD1","GOCC","Sial_rPAL"
"GOCC_NEURON_TO_NEURON_SYNAPSE",0.00273257422946779,0.0212116074562437,0.431707695803346,0.428772745359472,1.61050949381997,92,"EIF3A;RPLP0;RPL12;EIF3E;RPL10A;RPL7;RPL6;DTNBP1;RPL30;RPS3;CDK5;ITPR1;MKLN1;NEGR1;RPL8;RPL14;ADD1;USP8;BCR;MTMR2;RPL18A;ABLIM1;NECTIN1;FABP5;CASP3;SH3KBP1;STXBP5;CAPZB;GPHN","GOCC","rPAL"
"GOCC_SPINDLE_MIDZONE",0.00291315557125955,0.022285958753344,0.431707695803346,-0.672921157585107,-1.78685933571674,21,"HNRNPU;INCENP;RIF1;RACGAP1;CENPV;KIF14;RCC2","GOCC","Sial_rPAL"
