"Protein","rPAL_detected","Sial_rPAL_detected","MAR_values_imputed","MNAR_values_imputed"
"ZNF207",3,3,0,0
"GET3",3,1,0,2
"BUB3",3,3,0,0
"ACTN4",3,3,0,0
"BUD23",3,3,0,0
"HTATSF1",3,3,0,0
"ITM2A",3,3,0,0
"SGTA",3,3,0,0
"NARS1",3,3,0,0
"MYO1B",3,3,0,0
"NUDT21",3,3,0,0
"LANCL1",3,3,0,0
"STRN",3,3,0,0
"RRP9",3,3,0,0
"AKAP8",3,3,0,0
"GTPBP6",3,3,0,0
"IDH3B",3,3,0,0
"AHCYL1",3,3,0,0
"RAD21",3,3,0,0
"DHX16",3,3,0,0
"ZNRD2",3,3,0,0
"GMFG",3,3,0,0
"MED14",3,3,0,0
"SMARCA5",3,3,0,0
"ZNF292",3,3,0,0
"ZFC3H1",3,3,0,0
"AQR",3,3,0,0
"OPA1",3,3,0,0
"PIP5K1C",3,3,0,0
"KDM1A",3,3,0,0
"TBC1D4",3,3,0,0
"FADS1",3,3,0,0
"PPL",1,3,0,2
"ACSL4",3,2,1,0
"STX10",2,1,1,2
"SYNCRIP",3,3,0,0
"CDC40",3,3,0,0
"NEMF",3,3,0,0
"GMDS",3,3,0,0
"NMT2",3,3,0,0
"CCNT1",3,3,0,0
"PLOD3",3,2,1,0
"EIF4E2",3,2,1,0
"DIAPH1",3,3,0,0
"EXOC3",3,3,0,0
"JAK2",2,3,1,0
"KPNA6",3,3,0,0
"LPXN",3,3,0,0
"CTNND1",3,3,0,0
"CYTIP",3,3,0,0
"HPGDS",3,3,0,0
"DPM1",3,3,0,0
"USO1",2,3,1,0
"MRPS14",3,3,0,0
"TOM1",3,2,1,0
"PQBP1",3,3,0,0
"DKC1",3,3,0,0
"EIF5B",3,3,0,0
"EDF1",2,3,1,0
"KIN",3,3,0,0
"DIAPH2",3,1,0,2
"DNAJA2",3,3,0,0
"BRD4",3,3,0,0
"CUTA",2,2,2,0
"TBL1X",3,3,0,0
"NBN",3,3,0,0
"KIF21B",2,1,1,2
"SRGAP2",3,3,0,0
"CBFA2T3",2,1,1,2
"WDR1",3,3,0,0
"ROCK2",3,3,0,0
"CLASP2",3,3,0,0
"CPNE3",3,3,0,0
"RNF40",3,3,0,0
"PHF2",3,3,0,0
"ZC3H11A",3,3,0,0
"CLUH",3,3,0,0
"DNAJC13",3,3,0,0
"CNOT3",3,3,0,0
"ANKRD17",3,3,0,0
"SIN3B",3,3,0,0
"DNAJB6",3,3,0,0
"GGCT",3,3,0,0
"NDUFS7",3,3,0,0
"NDUFS2",3,3,0,0
"DUSP11",3,3,0,0
"NIPSNAP2",3,3,0,0
"HMMR",3,3,0,0
"PDCD6",3,3,0,0
"ALOX12B",0,2,1,3
"TBCA",3,3,0,0
"ATP6V1G1",3,3,0,0
"VPS4B",3,2,1,0
"MACROH2A1",3,3,0,0
"SH3BGRL",2,1,1,2
"FLNB",3,3,0,0
"NCOR1",3,3,0,0
"SLC43A1",3,0,0,3
"CS",3,3,0,0
"MRPL33",3,3,0,0
"SEC22B",3,3,0,0
"PRPF40A",3,3,0,0
"TACC1",3,1,0,2
"PMPCB",3,3,0,0
"MED24",3,3,0,0
"PSIP1",3,3,0,0
"ERLIN1",3,3,0,0
"SUPT3H",3,3,0,0
"NDUFS3",3,3,0,0
"SRSF10",3,3,0,0
