"Protein"
"HNRNPR"
"SYNCRIP"
"SMC2"
"H2BC11"
"RPS17"
"FEN1"
"CTCF"
"CDK9"
"NANOS3"
"RPL27"
"SNRPD2"
"CCT2"
"SRSF3"
"CAP1"
"EWSR1"
"SSBP1"
"SRSF1"
"ILF3"
"IQGAP2"
"CWF19L2"
"ALYREF"
"GATAD2A"
"LSM14A"
"MAGT1"
"GAR1"
"EIF2B4"
"DRG1"
