"Protein"
"NBAS"
"HDAC3"
"ALOX12B"
"ARL2"
"GSDMD"
"PPP2R5E"
"WDR59"
"PPP1R3B"
"EHBP1L1"
"ATRIP"
"DRC1"
"RAB34"
"MTG2"
"GEMIN7"
"GPBP1L1"
"FBXO6"
"CLDND1"
"UBP1"
"POLDIP2"
